3020	1	6	2	13	9	14	16	19	18	20	0	28	24	26	29	30						
3014	2																					
3013	1	8	7	6	10	12	15	14	28	26	24	30										
3002	1	2	8	9	13	20	21	23	24	26	27											
3004	1	8	9	6	7	4	5	13														
3010	2	1	6	8	9	12	13	14	20	21	22	23	24	26	27	28	29	30				
3003	1	8	9	11	12	13	1	4	15	7	6	20	21	23	28	29	30					
3005	29	24	28	30	1	15	18	19	20	22	23	4	8	9								
3006	1	7	6	8	9	11	12	24	20	28	29	30										
3007	1	2	8	9	12	15	18	29	30													
3008	2	1	4	5	12	9	13	15	20													
3009	1	7	6	2	9	10	12	9	13	14	18	15	19	20	21	22	23					
3011	1	12	15	21	22	23	29															
3012	2	4	5	6	11	10	12	13	14	20	21	24	26	28	29	30						
3015	1	3	6	4	5	2	8	9	11	12	13	14	15	20	21	22	25	24	26	27	28	30
3001	1	6	15	24	28	29	30															
3017	1	2	8	9	10	12	13	15	17	20	23	25	24	26	28	29						
3016	1	8	2	10	12	4	5	11	13	14	28	21	22	24								
3018	1	8	10	12	6	13	14	25	21	22	26											
